Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,Financials: Price Earnings Ratio Before Offering Percent,Financials: Price/Book Value Before Offer,Financials: Price/Book Value After Offer,Financials: EBITDA Before Offering Host Currency,New Issues Date Company Founded
154084679730,154084679730,129815,UKC,BM,BM,1997-04-30,Dragons Health Clubs PLC,4297043930,IPO,Live,United Kingdom,,,1.7,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Not Available,UK Common Stock,1.0,-999.0,,,,,,,,,
154084679752,154084679752,130850,UKC,BM|CM,BM|CM,1997-07-01,Pycraft & Arnold Holdings PLC,4295895659,IPO,Live,United Kingdom,,,2.0037996,London AIM,Ordinary Or Common Shares,Placement|Offer for Subscription,na,Industrials,Not Available,UK Common Stock,0.55,-999.0,,,,,,,,,
154084679965,154084679965,504887,EC,BM,BM,1997-04-22,Petra Diamonds Ltd,4295859594,IPO,Live,United Kingdom,,,3.333334,Australia|London AIM,Units,Placement,5.00000,Basic Materials,I A Pritchard Stockbrokers Limited,Euro & Foreign Common Stock,0.1,5.0,,,,,,,,,
154084679966,154084679966,504887,EC,BM,BM,1997-04-22,Petra Diamonds Ltd,4295859594,IPO,Live,United Kingdom,,,3.333334,Australia|London AIM,Units,Placement,5.00000,Basic Materials,I A Pritchard Stockbrokers Limited,Euro & Foreign Common Stock,1.5,5.0,,,,,,,,,
154084680010,154084680010,130677,UKC,BM|CM,BM|CM,1997-07-07,Helicon Publishing Group PLC,4295895164,IPO,Live,United Kingdom,,,3.025,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Not Available,UK Common Stock,1.25,-999.0,,,,GB0000578574,,18.943,4.436,0.5,
154084680036,154084680036,129607,UKC,BM,BM,1997-04-03,NMT Group PLC,4295895237,IPO,Live,United Kingdom,,,10.0,London AIM,Ordinary Or Common Shares,Placement,na,Healthcare,Not Available,UK Common Stock,0.5,-999.0,,,,,,,,,1/1/1996 12:00:00 AM
154084680269,154084680269,130156,UKC,BM|CM,BM|CM,1997-05-29,SBS Group PLC,4295895280,IPO,Live,United Kingdom,,,1.517795,London AIM,Ordinary Or Common Shares,Offer for Subscription,2.50000,Industrials,Not Available,UK Common Stock,1.0,2.5,,,,,1.013,,,1.1,
154084680300,154084680300,129573,UKC,BM,BM,1997-03-26,United Overseas Group PLC,5000273924,IPO,Live,United Kingdom,,,20.403992,London AIM,Ordinary Or Common Shares,Offer for Subscription,0.75000,Industrials,Not Available,UK Common Stock,0.5,0.75,,,,,,,,,
154084680370,154084680370,129662,UKC,BM|CM,BM|CM,1997-04-14,Highland Timber PLC,4295895189,IPO,Live,United Kingdom,,,10.8744,London AIM,Ordinary Or Common Shares,Placement,4.35000,Basic Materials,Not Available,UK Common Stock,1.2,4.35,,,,,,8.504,1.673,0.1,
154084680385,154084680385,130667,UKC,BM|CM,BM|CM,1997-07-07,Bakery Services PLC,4295895086,IPO,Live,United Kingdom,,,1.08020004,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Not Available,UK Common Stock,0.03,-999.0,,,,GB0000533272,,,2.79,0.3,
154084680390,154084680390,130737,UKC,BM,BM,1997-07-10,Kingfisher Leisure PLC,4295895214,IPO,Live,United Kingdom,,,7.5,London AIM,Ordinary Or Common Shares,Placement,2.00000,Consumer Cyclicals,Collins Stewart Ltd,UK Common Stock,1.6,2.0,,,,,,,,,
154084680426,154084680426,129841,UKC,BM,BM,1997-05-02,Integrated Asset Management PLC,4295895674,IPO,Live,United Kingdom,,,2.75,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Peel Hunt & Co Ltd,UK Common Stock,1.0,-999.0,1.622,,,,,,,,1/1/1997 12:00:00 AM
154084680431,154084680431,129907,UKC,BM,BM,1997-05-08,Longbridge International PLC,4295895233,IPO,Live,United Kingdom,,,0.78255,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,Not Available,UK Common Stock,1.0,-999.0,,,,GB0005337992,,90.558,29.963,0.7,
154084680470,154084680470,130536,UKC,BM,BM,1997-06-25,Citadel Holdings PLC,4295895101,IPO,Live,United Kingdom,,,22.668306,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Not Available,UK Common Stock,1.0,-999.0,,,,,,,,,
154084680471,154084680471,130536,EC,BM,BM,1997-06-25,Citadel Holdings PLC,4295895101,IPO,Live,United Kingdom,,,22.668306,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Union Bank of Switzerland,Euro & Foreign Common Stock,1.0,-999.0,,,,,,,,,
154084680622,154084680622,129766,UKC,BM,BM,1997-04-24,Lady in Leisure Group PLC,4295895200,IPO,Live,United Kingdom,,,1.705,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Not Available,UK Common Stock,1.1,-999.0,,,,GB0005010086,,-0.049,2.992,-0.1,
